boat_id,catch_id,fish_id,date_dd_mm_yy,year,month,day,region,landing_site,vessel_id,fish_type_code,fish_index,weight_kg,length_cm,fish_group,notes,kobo_section_1_index,kobo_section_2_index,kobo_section_3_index
1,1,1,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,1,YFT,1,7.7,76,Tuna,NA,NA,NA,NA
1,1,2,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,1,YFT,2,3.6,59,Tuna,NA,NA,NA,NA
1,1,3,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,1,YFT,3,4.5,65,Tuna,NA,NA,NA,NA
1,1,4,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,1,YFT,4,4.5,67,Tuna,NA,NA,NA,NA
1,1,5,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,1,YFT,5,3.2,61,Tuna,NA,NA,NA,NA
1,3,6,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,1,MAH,1,9.5,124,Other,NA,NA,NA,NA
2,7,7,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,2,OTH1,1,2.3,55,Other,Aarjoog,NA,NA,NA
2,7,8,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,2,OTH1,2,3.2,64,Other,Aarjoog,NA,NA,NA
2,7,9,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,2,OTH1,3,2.3,55,Other,Aarjoog,NA,NA,NA
2,4,10,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,2,YFT,1,11,84,Tuna,NA,NA,NA,NA
2,4,11,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,2,YFT,2,9.8,85,Tuna,NA,NA,NA,NA
2,5,12,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,2,KAW,1,4.5,62,Tuna,NA,NA,NA,NA
2,5,13,2018-11-02T00:00:00Z,2018,Nov,2,Mogadishu,Lido Beach,2,KAW,2,4.5,63,Tuna,NA,NA,NA,NA
